Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Year,RoundNumber
0 days 01:49:55.206000,SAR,2,0 days 00:02:01.581000,29.0,3.0,0 days 01:48:17.080000,,0 days 00:00:52.601000,0 days 00:00:45.132000,0 days 00:00:23.848000,0 days 01:48:46.250000,0 days 01:49:31.382000,0 days 01:49:55.230000,231.0,260.0,281.0,218.0,False,HARD,1.0,True,Williams,0 days 01:47:53.625000,,1,20.0,,,False,False,2024,1
0 days 02:07:41.776000,SAR,2,0 days 00:01:39.817000,40.0,3.0,,0 days 02:07:39.995000,0 days 00:00:30.760000,0 days 00:00:42.614000,0 days 00:00:26.443000,0 days 02:06:32.743000,0 days 02:07:15.357000,0 days 02:07:41.800000,233.0,256.0,,297.0,False,HARD,12.0,True,Williams,0 days 02:06:01.959000,,1,20.0,,,False,False,2024,1
0 days 02:09:42.058000,SAR,2,0 days 00:02:00.282000,41.0,4.0,0 days 02:08:05.424000,,0 days 00:00:55.516000,0 days 00:00:41.323000,0 days 00:00:23.443000,0 days 02:08:37.316000,0 days 02:09:18.639000,0 days 02:09:42.082000,232.0,256.0,281.0,188.0,False,SOFT,1.0,True,Williams,0 days 02:07:41.776000,,1,20.0,,,False,False,2024,1
0 days 01:11:12.182000,VER,1,0 days 00:02:02.919000,7.0,1.0,,0 days 01:11:11.053000,0 days 00:00:34.467000,0 days 00:00:41.316000,0 days 00:00:47.136000,0 days 01:09:43.766000,0 days 01:10:25.082000,0 days 01:11:12.218000,286.0,123.0,,228.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:09:09.263000,,124,1.0,,,False,False,2024,2
0 days 01:14:21.360000,VER,1,,8.0,2.0,0 days 01:11:31.721000,,0 days 00:01:13.947000,0 days 00:00:57.475000,0 days 00:00:57.661000,0 days 01:12:26.260000,0 days 01:13:23.755000,0 days 01:14:21.399000,158.0,96.0,229.0,130.0,False,HARD,1.0,True,Red Bull Racing,0 days 01:11:12.182000,,4,2.0,,,False,False,2024,2
0 days 01:01:45.752000,GAS,10,0 days 00:02:01.453000,1.0,1.0,,0 days 01:01:44.496000,,0 days 00:00:36.134000,0 days 00:00:40.034000,,0 days 01:01:05.736000,0 days 01:01:45.752000,221.0,213.0,,224.0,False,MEDIUM,1.0,True,Alpine,0 days 00:59:43.836000,,1,20.0,,,False,False,2024,2
0 days 01:11:16.505000,PER,11,0 days 00:02:04.615000,7.0,1.0,,0 days 01:11:15.418000,0 days 00:00:34.591000,0 days 00:00:43.307000,0 days 00:00:46.717000,0 days 01:09:46.520000,0 days 01:10:29.827000,0 days 01:11:16.544000,288.0,203.0,,238.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:09:11.890000,,124,2.0,,,False,False,2024,2
0 days 01:14:23.836000,PER,11,,8.0,2.0,0 days 01:11:37.661000,,0 days 00:01:12.474000,0 days 00:00:57.390000,0 days 00:00:57.505000,0 days 01:12:28.980000,0 days 01:13:26.421000,0 days 01:14:23.922000,147.0,120.0,210.0,172.0,False,HARD,1.0,True,Red Bull Racing,0 days 01:11:16.505000,,4,4.0,,,False,False,2024,2
0 days 01:11:23.416000,ALO,14,0 days 00:02:06.883000,7.0,1.0,,0 days 01:11:22.311000,0 days 00:00:35.084000,0 days 00:00:46.252000,0 days 00:00:45.547000,0 days 01:09:51.663000,0 days 01:10:37.915000,0 days 01:11:23.462000,282.0,121.0,,130.0,False,MEDIUM,8.0,False,Aston Martin,0 days 01:09:16.533000,,24,5.0,,,False,False,2024,2
0 days 01:14:28.719000,ALO,14,,8.0,2.0,0 days 01:11:44.551000,,0 days 00:01:09.823000,0 days 00:00:57.417000,0 days 00:00:58.052000,0 days 01:12:33.401000,0 days 01:13:30.713000,0 days 01:14:28.929000,197.0,181.0,277.0,224.0,False,HARD,2.0,False,Aston Martin,0 days 01:11:23.416000,,4,7.0,,,False,False,2024,2
0 days 01:11:18.204000,LEC,16,0 days 00:02:04.831000,7.0,1.0,,0 days 01:11:17.159000,0 days 00:00:34.738000,0 days 00:00:43.191000,0 days 00:00:46.902000,0 days 01:09:48.150000,0 days 01:10:31.341000,0 days 01:11:18.243000,282.0,131.0,,222.0,False,MEDIUM,7.0,True,Ferrari,0 days 01:09:13.373000,,124,3.0,,,False,False,2024,2
0 days 01:14:24.712000,LEC,16,,8.0,2.0,0 days 01:11:40.533000,,0 days 00:01:12.351000,0 days 00:00:57.248000,0 days 00:00:56.807000,0 days 01:12:30.696000,0 days 01:13:27.959000,0 days 01:14:24.777000,151.0,129.0,249.0,229.0,False,HARD,1.0,True,Ferrari,0 days 01:11:18.204000,,4,5.0,,,False,False,2024,2
0 days 01:11:48.175000,SAR,2,0 days 00:02:14.350000,7.0,1.0,,0 days 01:11:47.060000,0 days 00:00:46.830000,0 days 00:00:41.873000,0 days 00:00:45.647000,0 days 01:10:20.701000,0 days 01:11:02.574000,0 days 01:11:48.221000,211.0,130.0,,219.0,False,MEDIUM,7.0,True,Williams,0 days 01:09:33.825000,,24,17.0,,,False,False,2024,2
0 days 01:14:45.442000,SAR,2,,8.0,2.0,0 days 01:12:10.777000,,0 days 00:01:05.092000,0 days 00:00:51.928000,0 days 00:01:00.268000,0 days 01:12:53.342000,0 days 01:13:45.320000,0 days 01:14:45.584000,161.0,132.0,269.0,169.0,False,HARD,1.0,True,Williams,0 days 01:11:48.175000,,4,17.0,,,False,False,2024,2
0 days 01:11:39.298000,MAG,20,0 days 00:02:11.564000,7.0,1.0,,0 days 01:11:38.294000,0 days 00:00:42.881000,0 days 00:00:42.987000,0 days 00:00:45.696000,0 days 01:10:10.664000,0 days 01:10:53.651000,0 days 01:11:39.347000,213.0,136.0,,195.0,False,MEDIUM,7.0,True,Haas F1 Team,0 days 01:09:27.734000,,24,11.0,,,False,False,2024,2
0 days 01:14:39.289000,MAG,20,,8.0,2.0,0 days 01:11:59.754000,,0 days 00:01:06.188000,0 days 00:00:54.869000,0 days 00:00:58.970000,0 days 01:12:45.601000,0 days 01:13:40.497000,0 days 01:14:39.492000,254.0,131.0,255.0,143.0,False,HARD,1.0,True,Haas F1 Team,0 days 01:11:39.298000,,4,13.0,,,False,False,2024,2
0 days 01:11:37.388000,TSU,22,0 days 00:02:10.914000,7.0,1.0,,0 days 01:11:36.333000,0 days 00:00:42.102000,0 days 00:00:43.057000,0 days 00:00:45.755000,0 days 01:10:08.576000,0 days 01:10:51.633000,0 days 01:11:37.388000,199.0,125.0,,245.0,False,MEDIUM,7.0,True,RB,0 days 01:09:26.474000,,24,9.0,,,False,False,2024,2
0 days 01:14:36.977000,TSU,22,,8.0,2.0,0 days 01:11:58.073000,,0 days 00:01:06.004000,0 days 00:00:55.077000,0 days 00:00:58.481000,0 days 01:12:43.627000,0 days 01:13:38.565000,0 days 01:14:37.004000,255.0,151.0,246.0,178.0,False,HARD,1.0,True,RB,0 days 01:11:37.388000,,4,11.0,,,False,False,2024,2
