Year,RoundNumber,EventName,DriverNumber,Abbreviation,FullName,LapNumber,PitInTime,PitStopDuration,Compound,TyreLife,NextCompound
2018,4,Azerbaijan Grand Prix,9,ERI,ERI,36.0,0 days 01:19:51.615000,,ULTRASOFT,18.0,
2018,4,Azerbaijan Grand Prix,9,ERI,ERI,39.0,0 days 01:26:40.852000,,ULTRASOFT,3.0,
2018,5,Spanish Grand Prix,11,PER,PER,26.0,0 days 00:48:38.968000,,SOFT,25.0,
2018,5,Spanish Grand Prix,11,PER,PER,40.0,0 days 01:08:49.631000,,MEDIUM,14.0,
2018,5,Spanish Grand Prix,14,ALO,ALO,21.0,0 days 00:41:27.923000,,SUPERSOFT,23.0,
2018,5,Spanish Grand Prix,16,LEC,LEC,20.0,0 days 00:40:02.878000,,SOFT,19.0,
2018,5,Spanish Grand Prix,18,STR,STR,20.0,0 days 00:40:11.919000,,SOFT,19.0,
2018,5,Spanish Grand Prix,2,VAN,VAN,34.0,0 days 00:59:46.640000,,SOFT,36.0,
2018,5,Spanish Grand Prix,2,VAN,VAN,46.0,0 days 01:19:14.629000,,MEDIUM,12.0,
2018,5,Spanish Grand Prix,20,MAG,MAG,32.0,0 days 00:56:28.705000,,SOFT,35.0,
2018,5,Spanish Grand Prix,28,HAR,HAR,1.0,0 days 00:09:12.755000,,nan,,
2018,5,Spanish Grand Prix,28,HAR,HAR,33.0,0 days 00:58:33.682000,,MEDIUM,32.0,
2018,5,Spanish Grand Prix,3,RIC,RIC,33.0,0 days 00:57:22.271000,,SOFT,35.0,
2018,5,Spanish Grand Prix,31,OCO,OCO,29.0,0 days 00:52:39.016000,,SOFT,28.0,
2018,5,Spanish Grand Prix,33,VER,VER,34.0,0 days 00:58:35.494000,,SOFT,36.0,
2018,5,Spanish Grand Prix,35,SIR,SIR,1.0,0 days 00:09:17.380000,,nan,,
2018,5,Spanish Grand Prix,35,SIR,SIR,24.0,0 days 00:45:56.035000,,MEDIUM,23.0,
2018,5,Spanish Grand Prix,35,SIR,SIR,41.0,0 days 01:11:29.719000,,MEDIUM,19.0,
2018,5,Spanish Grand Prix,44,HAM,HAM,25.0,0 days 00:46:04.600000,,SOFT,26.0,
2018,5,Spanish Grand Prix,5,VET,VET,17.0,0 days 00:35:22.895000,,SOFT,19.0,
2018,5,Spanish Grand Prix,5,VET,VET,41.0,0 days 01:08:45.740000,,MEDIUM,24.0,
2018,5,Spanish Grand Prix,55,SAI,SAI,25.0,0 days 00:46:56.933000,,SOFT,28.0,
2018,5,Spanish Grand Prix,7,RAI,RAI,25.0,0 days 00:47:11.743000,,SOFT,27.0,
2018,5,Spanish Grand Prix,77,BOT,BOT,19.0,0 days 00:38:06.393000,,SOFT,21.0,
2018,5,Spanish Grand Prix,9,ERI,ERI,35.0,0 days 01:01:13.808000,,MEDIUM,34.0,
2018,6,Monaco Grand Prix,10,GAS,GAS,37.0,0 days 00:55:41.127000,,HYPERSOFT,41.0,
2018,6,Monaco Grand Prix,11,PER,PER,21.0,0 days 00:34:40.650000,,HYPERSOFT,23.0,
2018,6,Monaco Grand Prix,14,ALO,ALO,19.0,0 days 00:31:55.075000,,HYPERSOFT,23.0,
2018,6,Monaco Grand Prix,16,LEC,LEC,14.0,0 days 00:25:33.030000,,ULTRASOFT,13.0,
2018,6,Monaco Grand Prix,18,STR,STR,9.0,0 days 00:19:39.970000,,ULTRASOFT,8.0,
2018,6,Monaco Grand Prix,18,STR,STR,34.0,0 days 00:53:56.225000,,SUPERSOFT,26.0,
2018,6,Monaco Grand Prix,18,STR,STR,59.0,0 days 01:27:18.773000,,HYPERSOFT,25.0,
2018,6,Monaco Grand Prix,2,VAN,VAN,20.0,0 days 00:33:36.154000,,ULTRASOFT,19.0,
2018,6,Monaco Grand Prix,2,VAN,VAN,72.0,0 days 01:42:43.175000,,SUPERSOFT,52.0,
2018,6,Monaco Grand Prix,20,MAG,MAG,17.0,0 days 00:29:36.299000,,ULTRASOFT,16.0,
2018,6,Monaco Grand Prix,27,HUL,HUL,50.0,0 days 01:12:54.146000,,ULTRASOFT,49.0,
2018,6,Monaco Grand Prix,28,HAR,HAR,13.0,0 days 00:24:14.946000,,HYPERSOFT,12.0,
2018,6,Monaco Grand Prix,28,HAR,HAR,71.0,0 days 01:41:16.466000,,ULTRASOFT,58.0,
2018,6,Monaco Grand Prix,3,RIC,RIC,17.0,0 days 00:28:32.716000,,HYPERSOFT,18.0,
2018,6,Monaco Grand Prix,31,OCO,OCO,23.0,0 days 00:37:07.194000,,HYPERSOFT,27.0,
2018,6,Monaco Grand Prix,33,VER,VER,47.0,0 days 01:09:06.250000,,ULTRASOFT,46.0,
2018,6,Monaco Grand Prix,35,SIR,SIR,7.0,0 days 00:16:14.097000,,HYPERSOFT,6.0,
2018,6,Monaco Grand Prix,35,SIR,SIR,19.0,0 days 00:32:42.205000,,HYPERSOFT,19.0,
2018,6,Monaco Grand Prix,35,SIR,SIR,49.0,0 days 01:12:50.174000,,ULTRASOFT,30.0,
