Year,RoundNumber,EventName,DriverNumber,Abbreviation,FullName,LapNumber,PitInTime,PitStopDuration,Compound,TyreLife,NextCompound
2018,7,Canadian Grand Prix,33,VER,Max Verstappen,16.0,0 days 00:30:14.149000,,HYPERSOFT,18.0,
2018,7,Canadian Grand Prix,44,HAM,Lewis Hamilton,16.0,0 days 00:30:16.288000,,ULTRASOFT,18.0,
2018,7,Canadian Grand Prix,3,RIC,Daniel Ricciardo,17.0,0 days 00:31:32.873000,,HYPERSOFT,19.0,
2018,7,Canadian Grand Prix,14,ALO,Fernando Alonso,18.0,0 days 00:33:10.595000,,ULTRASOFT,17.0,
2018,7,Canadian Grand Prix,16,LEC,Charles Leclerc,19.0,0 days 00:34:26.637000,,ULTRASOFT,18.0,
2018,7,Canadian Grand Prix,20,MAG,Kevin Magnussen,22.0,0 days 00:38:22.109000,,ULTRASOFT,21.0,
2018,7,Canadian Grand Prix,10,KOB,Kamui Kobayashi,23.0,0 days 00:39:36.708000,,HYPERSOFT,22.0,
2018,7,Canadian Grand Prix,35,SIR,Sergey Sirotkin,26.0,0 days 00:43:55.932000,,SUPERSOFT,25.0,
2018,7,Canadian Grand Prix,7,RAI,Kimi Raikkonen,32.0,0 days 00:50:30.729000,,ULTRASOFT,34.0,
2018,7,Canadian Grand Prix,77,BOT,Valtteri Bottas,36.0,0 days 00:55:20.285000,,ULTRASOFT,38.0,
2018,7,Canadian Grand Prix,5,VET,Sebastian Vettel,37.0,0 days 00:56:29.492000,,ULTRASOFT,38.0,
2018,7,Canadian Grand Prix,14,ALO,Fernando Alonso,41.0,0 days 01:03:22.713000,,SUPERSOFT,23.0,
2018,7,Canadian Grand Prix,11,PER,Sergio Perez,44.0,0 days 01:06:49.080000,,SUPERSOFT,35.0,
2018,7,Canadian Grand Prix,2,VAN,Stoffel Vandoorne,48.0,0 days 01:12:21.409000,,SUPERSOFT,47.0,
2018,7,Canadian Grand Prix,8,GRO,Romain Grosjean,48.0,0 days 01:11:41.892000,,ULTRASOFT,47.0,
2018,8,French Grand Prix,14,ALO,Fernando Alonso,1.0,0 days 00:09:57.204000,,SUPERSOFT,1.0,
2018,8,French Grand Prix,18,STR,Lance Stroll,1.0,0 days 00:09:46.935000,,ULTRASOFT,1.0,
2018,8,French Grand Prix,35,SIR,Sergey Sirotkin,1.0,0 days 00:09:55.689000,,ULTRASOFT,1.0,
2018,8,French Grand Prix,5,VET,Sebastian Vettel,1.0,0 days 00:09:56.453000,,ULTRASOFT,4.0,
2018,8,French Grand Prix,77,BOT,Valtteri Bottas,1.0,0 days 00:10:40.040000,,SUPERSOFT,4.0,
2018,8,French Grand Prix,33,VER,Max Verstappen,25.0,0 days 00:52:00.039000,,SUPERSOFT,27.0,
2018,8,French Grand Prix,55,SAI,Carlos Sainz Jnr,26.0,0 days 00:54:15.625000,,ULTRASOFT,28.0,
2018,8,French Grand Prix,11,PER,Sergio Perez,28.0,0 days 00:57:45.892000,,SOFT,27.0,
2018,8,French Grand Prix,20,MAG,Kevin Magnussen,28.0,0 days 00:57:32.186000,,ULTRASOFT,30.0,
2018,8,French Grand Prix,3,RIC,Daniel Ricciardo,28.0,0 days 00:56:53.277000,,SUPERSOFT,32.0,
2018,8,French Grand Prix,16,LEC,Charles Leclerc,31.0,0 days 01:02:35.776000,,ULTRASOFT,33.0,
2018,8,French Grand Prix,44,HAM,Lewis Hamilton,33.0,0 days 01:04:41.384000,,SUPERSOFT,34.0,
2018,8,French Grand Prix,7,RAI,Kimi Raikkonen,34.0,0 days 01:06:38.947000,,ULTRASOFT,36.0,
2018,8,French Grand Prix,8,GRO,Romain Grosjean,34.0,0 days 01:07:30.747000,,ULTRASOFT,36.0,
2018,8,French Grand Prix,9,ERI,Marcus Ericsson,35.0,0 days 01:09:28.648000,,SUPERSOFT,34.0,
2018,8,French Grand Prix,27,HUL,Nico Hulkenberg,37.0,0 days 01:12:16.548000,,SOFT,36.0,
2018,8,French Grand Prix,28,STE,Will Stevens,38.0,0 days 01:14:21.808000,,ULTRASOFT,37.0,
2018,8,French Grand Prix,77,BOT,Valtteri Bottas,39.0,0 days 01:15:23.017000,,SOFT,38.0,
2018,8,French Grand Prix,2,VAN,Stoffel Vandoorne,40.0,0 days 01:17:26.913000,,SUPERSOFT,39.0,
2018,8,French Grand Prix,5,VET,Sebastian Vettel,40.0,0 days 01:16:39.253000,,SOFT,39.0,
2018,8,French Grand Prix,14,ALO,Fernando Alonso,46.0,0 days 01:27:43.249000,,SOFT,45.0,
2018,8,French Grand Prix,14,ALO,Fernando Alonso,51.0,0 days 01:37:45.648000,,ULTRASOFT,5.0,
2018,9,Austrian Grand Prix,2,VAN,Stoffel Vandoorne,1.0,0 days 00:08:13.900000,,SUPERSOFT,1.0,
2018,9,Austrian Grand Prix,10,KOB,Kamui Kobayashi,15.0,0 days 00:25:09.232000,,SUPERSOFT,14.0,
2018,9,Austrian Grand Prix,14,ALO,Fernando Alonso,15.0,0 days 00:25:16.198000,,SUPERSOFT,14.0,
2018,9,Austrian Grand Prix,16,LEC,Charles Leclerc,15.0,0 days 00:25:12.447000,,SUPERSOFT,14.0,
