Year,RoundNumber,EventName,EventDate,Driver,DriverNumber,Team,LapNumber,LapTime,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,TrackStatus,Position,IsAccurate
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,45.0,0 days 00:01:28.439000,2.0,,,0 days 00:00:29.391000,0 days 00:00:23.692000,0 days 00:00:35.356000,276.0,298.0,285.0,303.0,False,SOFT,21.0,True,1.0,11.0,True
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,46.0,0 days 00:01:28.354000,2.0,,,0 days 00:00:29.356000,0 days 00:00:23.643000,0 days 00:00:35.355000,275.0,299.0,285.0,299.0,False,SOFT,22.0,True,1.0,11.0,True
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,47.0,0 days 00:01:28.282000,2.0,,,0 days 00:00:29.326000,0 days 00:00:23.676000,0 days 00:00:35.280000,280.0,298.0,286.0,301.0,False,SOFT,23.0,True,1.0,11.0,True
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,48.0,0 days 00:01:28.026000,2.0,,,0 days 00:00:29.483000,0 days 00:00:23.565000,0 days 00:00:34.978000,278.0,299.0,289.0,302.0,False,SOFT,24.0,True,1.0,11.0,True
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,49.0,0 days 00:01:28.006000,2.0,,,0 days 00:00:29.198000,0 days 00:00:23.587000,0 days 00:00:35.221000,278.0,298.0,289.0,302.0,False,SOFT,25.0,True,1.0,11.0,True
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,50.0,0 days 00:01:28.079000,2.0,,,0 days 00:00:29.354000,0 days 00:00:23.617000,0 days 00:00:35.108000,278.0,298.0,287.0,304.0,False,SOFT,26.0,True,1.0,11.0,True
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,51.0,0 days 00:01:27.633000,2.0,,,0 days 00:00:29.174000,0 days 00:00:23.582000,0 days 00:00:34.877000,279.0,300.0,299.0,302.0,True,SOFT,27.0,True,1.0,11.0,True
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,52.0,0 days 00:01:28.477000,2.0,,,0 days 00:00:29.543000,0 days 00:00:23.808000,0 days 00:00:35.126000,276.0,300.0,298.0,316.0,False,SOFT,28.0,True,1.0,11.0,True
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,53.0,0 days 00:01:28.381000,2.0,,,0 days 00:00:29.559000,0 days 00:00:23.793000,0 days 00:00:35.029000,278.0,302.0,302.0,313.0,False,SOFT,29.0,True,1.0,11.0,True
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,54.0,0 days 00:01:28.093000,2.0,,,0 days 00:00:29.534000,0 days 00:00:23.639000,0 days 00:00:34.920000,277.0,301.0,300.0,319.0,False,SOFT,30.0,True,1.0,11.0,True
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,55.0,0 days 00:01:28.284000,2.0,,,0 days 00:00:29.559000,0 days 00:00:23.605000,0 days 00:00:35.120000,274.0,301.0,301.0,313.0,False,SOFT,31.0,True,1.0,11.0,True
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,56.0,0 days 00:01:28.338000,2.0,,,0 days 00:00:29.596000,0 days 00:00:23.811000,0 days 00:00:34.931000,277.0,300.0,300.0,313.0,False,SOFT,32.0,True,1.0,11.0,True
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,57.0,0 days 00:01:27.850000,2.0,,,0 days 00:00:29.219000,0 days 00:00:23.589000,0 days 00:00:35.042000,276.0,300.0,298.0,313.0,False,SOFT,33.0,True,1.0,11.0,True
2018,1,Australian Grand Prix,2018-03-25,PER,11,Force India,58.0,0 days 00:01:29.220000,2.0,,,0 days 00:00:29.451000,0 days 00:00:24.552000,0 days 00:00:35.217000,278.0,297.0,285.0,312.0,False,SOFT,34.0,True,1.0,11.0,True
2018,1,Australian Grand Prix,2018-03-25,ALO,14,McLaren,1.0,0 days 00:01:41.528000,,,,,0 days 00:00:24.692000,0 days 00:00:38.129000,247.0,270.0,279.0,225.0,False,,,True,,10.0,False
