DriverNumber,FullName,Abbreviation,TeamName,Position,GridPosition,Status,Points,Laps,Year,RoundNumber
10,Pierre Gasly,GAS,Toro Rosso,11.0,16.0,+1 Lap,0.0,67.0,2018,7
8,Romain Grosjean,GRO,Haas F1 Team,12.0,20.0,+1 Lap,0.0,67.0,2018,7
20,Kevin Magnussen,MAG,Haas F1 Team,13.0,11.0,+1 Lap,0.0,67.0,2018,7
11,Sergio Perez,PER,Force India,14.0,10.0,+1 Lap,0.0,67.0,2018,7
9,Marcus Ericsson,ERI,Sauber,15.0,19.0,+2 Laps,0.0,66.0,2018,7
2,Stoffel Vandoorne,VAN,McLaren,16.0,15.0,+2 Laps,0.0,66.0,2018,7
35,Sergey Sirotkin,SIR,Williams,17.0,18.0,+2 Laps,0.0,66.0,2018,7
14,Fernando Alonso,ALO,McLaren,18.0,14.0,Exhaust,0.0,40.0,2018,7
28,Brendon Hartley,HAR,Toro Rosso,19.0,12.0,Collision,0.0,0.0,2018,7
18,Lance Stroll,STR,Williams,20.0,17.0,Collision,0.0,0.0,2018,7
8,Romain Grosjean,GRO,Haas F1 Team,11.0,10.0,+1 Lap,0.0,52.0,2018,8
2,Stoffel Vandoorne,VAN,McLaren,12.0,17.0,+1 Lap,0.0,52.0,2018,8
9,Marcus Ericsson,ERI,Sauber,13.0,15.0,+1 Lap,0.0,52.0,2018,8
28,Brendon Hartley,HAR,Toro Rosso,14.0,20.0,+1 Lap,0.0,52.0,2018,8
35,Sergey Sirotkin,SIR,Williams,15.0,18.0,+1 Lap,0.0,52.0,2018,8
14,Fernando Alonso,ALO,McLaren,16.0,16.0,Wheel,0.0,50.0,2018,8
18,Lance Stroll,STR,Williams,17.0,19.0,Puncture,0.0,48.0,2018,8
11,Sergio Perez,PER,Force India,18.0,13.0,Engine,0.0,27.0,2018,8
31,Esteban Ocon,OCO,Force India,19.0,11.0,Collision,0.0,0.0,2018,8
10,Pierre Gasly,GAS,Toro Rosso,20.0,14.0,Collision,0.0,0.0,2018,8
8,Romain Grosjean,GRO,Haas F1 Team,4.0,5.0,+1 Lap,12.0,70.0,2018,9
20,Kevin Magnussen,MAG,Haas F1 Team,5.0,8.0,+1 Lap,10.0,70.0,2018,9
31,Esteban Ocon,OCO,Force India,6.0,11.0,+1 Lap,8.0,70.0,2018,9
11,Sergio Perez,PER,Force India,7.0,16.0,+1 Lap,6.0,70.0,2018,9
14,Fernando Alonso,ALO,McLaren,8.0,13.0,+1 Lap,4.0,70.0,2018,9
16,Charles Leclerc,LEC,Sauber,9.0,18.0,+1 Lap,2.0,70.0,2018,9
9,Marcus Ericsson,ERI,Sauber,10.0,20.0,+1 Lap,1.0,70.0,2018,9
10,Pierre Gasly,GAS,Toro Rosso,11.0,12.0,+1 Lap,0.0,70.0,2018,9
55,Carlos Sainz,SAI,Renault,12.0,9.0,+1 Lap,0.0,70.0,2018,9
35,Sergey Sirotkin,SIR,Williams,13.0,17.0,+2 Laps,0.0,69.0,2018,9
18,Lance Stroll,STR,Williams,14.0,14.0,+2 Laps,0.0,69.0,2018,9
2,Stoffel Vandoorne,VAN,McLaren,15.0,15.0,Collision damage,0.0,65.0,2018,9
44,Lewis Hamilton,HAM,Mercedes,16.0,2.0,Fuel pressure,0.0,62.0,2018,9
28,Brendon Hartley,HAR,Toro Rosso,17.0,19.0,Hydraulics,0.0,54.0,2018,9
3,Daniel Ricciardo,RIC,Red Bull Racing,18.0,7.0,Exhaust,0.0,53.0,2018,9
77,Valtteri Bottas,BOT,Mercedes,19.0,1.0,Hydraulics,0.0,13.0,2018,9
27,Nico Hulkenberg,HUL,Renault,20.0,10.0,Engine,0.0,11.0,2018,9
33,Max Verstappen,VER,Red Bull Racing,15.0,5.0,Brakes,0.0,46.0,2018,10
8,Romain Grosjean,GRO,Haas F1 Team,16.0,8.0,Collision,0.0,37.0,2018,10
55,Carlos Sainz,SAI,Renault,17.0,16.0,Collision,0.0,37.0,2018,10
9,Marcus Ericsson,ERI,Sauber,18.0,15.0,Accident,0.0,31.0,2018,10
16,Charles Leclerc,LEC,Sauber,19.0,9.0,Tyre,0.0,18.0,2018,10
28,Brendon Hartley,HAR,Toro Rosso,20.0,0.0,Power Unit,0.0,1.0,2018,10
10,Pierre Gasly,GAS,Toro Rosso,14.0,16.0,+1 Lap,0.0,66.0,2018,11
16,Charles Leclerc,LEC,Sauber,15.0,9.0,+1 Lap,0.0,66.0,2018,11
14,Fernando Alonso,ALO,McLaren,16.0,11.0,Retired,0.0,65.0,2018,11
18,Lance Stroll,STR,Williams,17.0,18.0,Engine,0.0,53.0,2018,11
5,Sebastian Vettel,VET,Ferrari,18.0,1.0,Accident,0.0,51.0,2018,11
35,Sergey Sirotkin,SIR,Williams,19.0,12.0,Engine,0.0,51.0,2018,11
3,Daniel Ricciardo,RIC,Red Bull Racing,20.0,20.0,Engine,0.0,27.0,2018,11
20,Kevin Magnussen,MAG,Haas F1 Team,7.0,9.0,+1 Lap,6.0,69.0,2018,12
14,Fernando Alonso,ALO,McLaren,8.0,11.0,+1 Lap,4.0,69.0,2018,12
55,Carlos Sainz,SAI,Renault,9.0,5.0,+1 Lap,2.0,69.0,2018,12
8,Romain Grosjean,GRO,Haas F1 Team,10.0,10.0,+1 Lap,1.0,69.0,2018,12
28,Brendon Hartley,HAR,Toro Rosso,11.0,8.0,+1 Lap,0.0,69.0,2018,12
27,Nico Hulkenberg,HUL,Renault,12.0,13.0,+1 Lap,0.0,69.0,2018,12
31,Esteban Ocon,OCO,Force India,13.0,18.0,+1 Lap,0.0,69.0,2018,12
11,Sergio Perez,PER,Force India,14.0,19.0,+1 Lap,0.0,69.0,2018,12
9,Marcus Ericsson,ERI,Sauber,15.0,14.0,+2 Laps,0.0,68.0,2018,12
35,Sergey Sirotkin,SIR,Williams,16.0,20.0,+2 Laps,0.0,68.0,2018,12
18,Lance Stroll,STR,Williams,17.0,15.0,+2 Laps,0.0,68.0,2018,12
2,Stoffel Vandoorne,VAN,McLaren,18.0,16.0,Gearbox,0.0,49.0,2018,12
33,Max Verstappen,VER,Red Bull Racing,19.0,7.0,Power loss,0.0,5.0,2018,12
16,Charles Leclerc,LEC,Sauber,20.0,17.0,Suspension,0.0,0.0,2018,12
9,Marcus Ericsson,ERI,Sauber,10.0,13.0,+1 Lap,1.0,43.0,2018,13
55,Carlos Sainz,SAI,Renault,11.0,14.0,+1 Lap,0.0,43.0,2018,13
35,Sergey Sirotkin,SIR,Williams,12.0,16.0,+1 Lap,0.0,43.0,2018,13
18,Lance Stroll,STR,Williams,13.0,17.0,+1 Lap,0.0,43.0,2018,13
28,Brendon Hartley,HAR,Toro Rosso,14.0,11.0,+1 Lap,0.0,43.0,2018,13
