Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Year,RoundNumber
0 days 02:15:58.095000,SAI,55,0 days 00:01:13.808000,58.0,4.0,,,0 days 00:00:24.956000,0 days 00:00:26.502000,0 days 00:00:22.350000,0 days 02:15:09.292000,0 days 02:15:35.794000,0 days 02:15:58.144000,289.0,272.0,303.0,309.0,True,SOFT,10.0,False,2025,15
0 days 02:17:11.980000,SAI,55,0 days 00:01:13.885000,59.0,4.0,,,0 days 00:00:25.076000,0 days 00:00:26.525000,0 days 00:00:22.284000,0 days 02:16:23.220000,0 days 02:16:49.745000,0 days 02:17:12.029000,289.0,282.0,318.0,310.0,False,SOFT,11.0,False,2025,15
0 days 02:18:26.147000,SAI,55,0 days 00:01:14.167000,60.0,4.0,,,0 days 00:00:25.228000,0 days 00:00:26.587000,0 days 00:00:22.352000,0 days 02:17:37.257000,0 days 02:18:03.844000,0 days 02:18:26.196000,289.0,280.0,304.0,319.0,False,SOFT,12.0,False,2025,15
0 days 02:19:40.507000,SAI,55,0 days 00:01:14.360000,61.0,4.0,,,0 days 00:00:25.215000,0 days 00:00:26.739000,0 days 00:00:22.406000,0 days 02:18:51.411000,0 days 02:19:18.150000,0 days 02:19:40.556000,290.0,273.0,303.0,311.0,False,SOFT,13.0,False,2025,15
0 days 02:20:55.097000,SAI,55,0 days 00:01:14.590000,62.0,4.0,,,0 days 00:00:25.275000,0 days 00:00:26.792000,0 days 00:00:22.523000,0 days 02:20:05.831000,0 days 02:20:32.623000,0 days 02:20:55.146000,289.0,273.0,303.0,307.0,False,SOFT,14.0,False,2025,15
0 days 02:22:09.872000,SAI,55,0 days 00:01:14.775000,63.0,4.0,,,0 days 00:00:25.194000,0 days 00:00:26.977000,0 days 00:00:22.604000,0 days 02:21:20.340000,0 days 02:21:47.317000,0 days 02:22:09.921000,287.0,271.0,303.0,309.0,False,SOFT,15.0,False,2025,15
0 days 02:23:24.691000,SAI,55,0 days 00:01:14.819000,64.0,4.0,,,0 days 00:00:25.346000,0 days 00:00:26.896000,0 days 00:00:22.577000,0 days 02:22:35.267000,0 days 02:23:02.163000,0 days 02:23:24.740000,287.0,272.0,302.0,307.0,False,SOFT,16.0,False,2025,15
0 days 02:25:04.426000,SAI,55,0 days 00:01:39.735000,65.0,4.0,,0 days 02:25:03.245000,0 days 00:00:33.716000,0 days 00:00:37.555000,0 days 00:00:28.464000,0 days 02:23:58.456000,0 days 02:24:36.011000,0 days 02:25:04.475000,135.0,267.0,,308.0,False,SOFT,17.0,False,2025,15
0 days 02:27:02.200000,SAI,55,0 days 00:01:57.774000,66.0,5.0,0 days 02:25:21.316000,,0 days 00:00:49.042000,0 days 00:00:36.464000,0 days 00:00:32.268000,0 days 02:25:53.517000,0 days 02:26:29.981000,0 days 02:27:02.249000,215.0,184.0,261.0,308.0,False,SOFT,4.0,False,2025,15
0 days 02:28:30.418000,SAI,55,0 days 00:01:28.218000,67.0,5.0,,,0 days 00:00:28.281000,0 days 00:00:32.106000,0 days 00:00:27.831000,0 days 02:27:30.530000,0 days 02:28:02.636000,0 days 02:28:30.467000,278.0,262.0,252.0,273.0,False,SOFT,5.0,False,2025,15
0 days 02:30:18.520000,SAI,55,0 days 00:01:48.102000,68.0,5.0,,,0 days 00:00:37.536000,0 days 00:00:39.077000,0 days 00:00:31.489000,0 days 02:29:08.003000,0 days 02:29:47.080000,0 days 02:30:18.569000,219.0,208.0,313.0,125.0,False,SOFT,6.0,False,2025,15
0 days 02:31:35.872000,SAI,55,0 days 00:01:17.352000,69.0,5.0,,,0 days 00:00:26.634000,0 days 00:00:27.228000,0 days 00:00:23.490000,0 days 02:30:45.203000,0 days 02:31:12.431000,0 days 02:31:35.921000,293.0,282.0,313.0,278.0,False,SOFT,7.0,False,2025,15
