Time,Driver,DriverNumber,LapNumber,Stint,PitInTime,PitOutTime,Compound,TyreLife,FreshTyre,Team,LapStartTime,TrackStatus,Position,Year,RoundNumber
0 days 01:35:21.344000,NOR,4,17.0,1.0,0 days 01:35:19.966000,,MEDIUM,17.0,True,McLaren,0 days 01:33:40.104000,1,1.0,2023,16
0 days 01:37:19.467000,NOR,4,18.0,2.0,,0 days 01:35:43.497000,HARD,1.0,True,McLaren,0 days 01:35:21.344000,1,5.0,2023,16
0 days 02:06:43.778000,NOR,4,36.0,2.0,0 days 02:06:42.402000,,HARD,19.0,True,McLaren,0 days 02:05:03.672000,1,2.0,2023,16
0 days 02:08:40.559000,NOR,4,37.0,3.0,,0 days 02:07:05.604000,HARD,1.0,True,McLaren,0 days 02:06:43.778000,1,4.0,2023,16
0 days 01:28:24.964000,PIA,81,13.0,1.0,0 days 01:28:23.755000,,MEDIUM,13.0,True,McLaren,0 days 01:26:43.564000,1,4.0,2023,16
0 days 01:30:38.811000,PIA,81,14.0,2.0,,0 days 01:28:48.129000,HARD,1.0,True,McLaren,0 days 01:28:24.964000,167,9.0,2023,16
0 days 02:05:12.083000,PIA,81,35.0,2.0,0 days 02:05:10.888000,,HARD,22.0,True,McLaren,0 days 02:03:31.508000,1,3.0,2023,16
0 days 02:07:09.179000,PIA,81,36.0,3.0,,0 days 02:05:33.981000,HARD,1.0,True,McLaren,0 days 02:05:12.083000,1,5.0,2023,16
0 days 01:35:24.054000,LEC,16,17.0,1.0,0 days 01:35:22.841000,,MEDIUM,17.0,True,Ferrari,0 days 01:33:42.229000,1,3.0,2023,16
0 days 01:37:21.310000,LEC,16,18.0,2.0,,0 days 01:35:45.903000,MEDIUM,1.0,True,Ferrari,0 days 01:35:24.054000,1,9.0,2023,16
0 days 02:03:38.838000,LEC,16,34.0,2.0,0 days 02:03:37.577000,,MEDIUM,17.0,True,Ferrari,0 days 02:01:57.709000,1,5.0,2023,16
0 days 02:05:34.669000,LEC,16,35.0,3.0,,0 days 02:04:00.404000,HARD,1.0,True,Ferrari,0 days 02:03:38.838000,1,6.0,2023,16
0 days 01:33:49.843000,HAM,44,16.0,1.0,0 days 01:33:48.546000,,MEDIUM,16.0,True,Mercedes,0 days 01:32:06.050000,1,6.0,2023,16
0 days 01:35:48.897000,HAM,44,17.0,2.0,,0 days 01:34:13.374000,HARD,1.0,True,Mercedes,0 days 01:33:49.843000,1,10.0,2023,16
