Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap,Season,Round,EventName
2021-04-18 13:40:46,Flag,WAVED BLUE FLAG FOR CAR 5 (VET) TIMED AT 15:40:45,,BLUE,Driver,,5,23.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:41:17,Flag,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 15:41:16,,BLUE,Driver,,31,23.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:42:04,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 15:42:04,,BLUE,Driver,,47,23.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:42:16,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 15:42:15,,BLUE,Driver,,47,24.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:42:22,Flag,WAVED BLUE FLAG FOR CAR 9 (MAZ) TIMED AT 15:42:22,,BLUE,Driver,,9,24.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:42:30,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 15:42:30,,BLUE,Driver,,47,24.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:42:38,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 15:42:38,,BLUE,Driver,,47,24.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:42:41,Flag,WAVED BLUE FLAG FOR CAR 9 (MAZ) TIMED AT 15:42:40,,BLUE,Driver,,9,24.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:42:54,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 15:42:54,,BLUE,Driver,,47,24.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:43:13,Flag,WAVED BLUE FLAG FOR CAR 47 (MSC) TIMED AT 15:43:13,,BLUE,Driver,,47,24.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:43:44,Flag,WAVED BLUE FLAG FOR CAR 5 (VET) TIMED AT 15:43:43,,BLUE,Driver,,5,25.0,2021,2,Emilia Romagna Grand Prix
2021-04-18 13:43:57,Flag,WAVED BLUE FLAG FOR CAR 5 (VET) TIMED AT 15:43:56,,BLUE,Driver,,5,25.0,2021,2,Emilia Romagna Grand Prix
